station_id,station_elevation,lat,lng
537,1,45.598363,-121.235824
538,1,45.600938,-121.221833
15,284,45.860485,-119.764409
544,1,45.652673,-121.529396
539,1,45.5322,-121.613462
16,551,46.019192,-118.678224
17,945,46.07730979,-119.76902249
540,1,45.632586,-121.501767
541,1,45.486347,-121.581467
550,1,45.583372,-121.152836
542,1,45.649002,-121.617591
18,1519,46.0667,-119.0771
586,1,45.493735,-121.115864
547,1,45.683066,-121.536622
548,1,45.591466,-121.122602
549,1,45.587531,-121.127086
19,1340,46.12443,-119.2191
20,499,45.934291,-119.805378
551,1,45.579052,-121.219151
552,1,45.519485,-121.613352
554,1,45.433226,-121.257045
555,1,45.509927,-121.577088
556,1,45.684204,-121.513797
557,1,45.51422,-121.602895
21,404,46.252855,-119.127361
22,379,46.331196,-119.270158
558,1,45.546461,-121.595917
559,1,45.582989,-121.635121
560,1,45.469859,-121.59231
561,1,45.59027,-121.230009
562,1,45.684778,-121.518117
563,1,45.637154,-121.545956
564,1,45.66617,-121.37356
589,1,45.572315,-121.638662
565,1,45.60517,-121.520481
566,1,45.68984,-121.517278
568,1,45.643285,-121.56278
569,1,45.633907,-121.136241
23,929,46.30179,-119.56759
570,1,45.594565,-121.178682
574,1,45.67505,-121.362512
581,1,45.445461,-121.090335
573,1,45.521593,-121.588405
576,1,45.556595,-121.1785
577,1,45.584228,-121.196652
578,1,45.588102,-121.197661
587,1,45.488061,-121.122258
579,1,45.676911,-121.580156
580,1,45.439144,-121.161491
24,822,46.36139,-118.79639
592,1,45.647541,-121.500042
582,1,45.444648,-121.095372
553,367,46.190903399,-119.063600299
545,1296,46.66129809,-120.6056017
320,186,46.949328,-122.964128
272,1221,48.1375664,-119.7204655
291,0,45.684725725,-121.51794708
317,1500,46.5959873,-120.6987544
271,200,44.565032,-123.24418
295,52,48.9185156,-122.4190611
316,2228,47.3336878,-120.2583198
302,1217,47.5943777,-120.6231165
567,1724,46.6482422,-120.65500449
298,1113,46.59125909,-120.41496629
277,6,48.3503938,-122.3728748
588,1868,46.7039842,-120.73968749
323,840,46.42855379,-120.49750759
494,453,46.6843517,-120.6318666
490,1171,46.9613947,-119.5694685
593,1089,46.2830536,-119.6957696
583,1400,46.6708214,-120.567028
487,46,48.186645,-122.16785
500,2387,47.3085676,-117.3912643
493,2595,47.0319406,-117.0615725
510,14,47.9291158,-122.1658497
